"Australia","83653"
"Austria","4827"
"Bahrain","260"
"Belgium","23152"
"Brazil","356"
"Canada","2763"
"Channel Islands","9479"
"Country","0"
"Cyprus","6317"
"Czech Republic","592"
"Denmark","8188"
"EIRE","142637"
"European Community","497"
"Finland","10666"
"France","110480"
"Germany","117448"
"Greece","1556"
"Hong Kong","4769"
"Iceland","2458"
"Israel","4353"
"Italy","7999"
"Japan","25218"
"Lebanon","386"
"Lithuania","652"
"Malta","944"
"Netherlands","200128"
"Norway","19247"
"Poland","3653"
"Portugal","16180"
"RSA","352"
"Saudi Arabia","75"
"Singapore","5234"
"Spain","26824"
"Sweden","35637"
"Switzerland","30325"
"USA","1034"
"United Arab Emirates","982"
"United Kingdom","4263829"
"Unspecified","3300"
